Caveat,CaveatCodes,CaveatFootnotes,DataSetCaveat,DataSetCaveatCodes,DataSetCaveatFootnotes,DataSetMetaTagCodes,DataSetMetaTags,DataSetMetaTagsWithType,DecimalPlaces,GroupNumber,UnitsArePrefix,LowerValue,MappedState,MeasureCategoryCode,MeasureCode,MeasureMetaTagCodes,MeasureMetaTags,MeasureMetaTagsWithType,MeasureName,PeerCaveat,PeerCaveatCodes,PeerCaveatFootnotes,PeerGroupName,PeerSuppression,PeerSuppressionCodes,PeerValue,ProxyChildren,ProxyReportingUnitName,ReportedMeasureCategoryCode,ReportedMeasureCategoryName,ReportedMeasureCategoryThreeCode,ReportedMeasureCategoryThreeName,ReportedMeasureCategoryTwoCode,ReportedMeasureCategoryTwoName,ReportedMeasureCategoryTypeCode,ReportedMeasureCategoryTypeName,ReportedMeasureCategoryThreeTypeCode,ReportedMeasureCategoryThreeTypeName,ReportedMeasureCategoryTwoTypeCode,ReportedMeasureCategoryTwoTypeName,ReportedMeasureCode,ReportedMeasureMetaTagCodes,ReportedMeasureMetaTags,ReportedMeasureMetaTagsWithType,ReportedMeasureName,ReportingEnd,ReportingStart,ReportingUnitCode,ReportingUnitMetaTagCodes,ReportingUnitMetaTags,ReportingUnitMetaTagsWithType,ReportingUnitName,ReportingUnitTypeCode,ReportingUnitTypeName,Suppression,SuppressionCodes,UnitsDisplay,UnitsName,UpperValue,Value
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,41.0000000000,,,ES_I001_CataractExtraction,Cataract extraction (with or without intra-ocular lens insertion),,,,,ES_IP,Intended procedure,,,,,MYH-RM0058,,,,Cataract extraction (with or without intra-ocular lens insertion),2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,44.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S3_GeneralSurgery,General surgery,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0059,,,,General surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,32.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,40.0000000000,,,ES_I002_Cholecystectomy,Cholecystectomy (open/laparoscopic),,,,,ES_IP,Intended procedure,,,,,MYH-RM0060,,,,Cholecystectomy (open/laparoscopic),2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,31.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,17.0000000000,,,ES_I007_InguinalHerniotomy,Inguinal herniotomy/herniorrhaphy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0062,,,,Inguinal herniotomy/herniorrhaphy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,9.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S4_Gynaecology,Gynaecology,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0063,,,,Gynaecology,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,81.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_I006_Hysterectomy,Hysterectomy (abdominal/vaginal/laparoscopic),,,,,ES_IP,Intended procedure,,,,,MYH-RM0064,,,,Hysterectomy (abdominal/vaginal/laparoscopic),2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S5_Neurosurgery,Neurosurgery,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0065,,,,Neurosurgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,15.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S7_OrthopaedicSurgery,Orthopaedic surgery,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0066,,,,Orthopaedic surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,107.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,80.0000000000,,,ES_I013_TotalHipReplacement,Total hip replacement,,,,,ES_IP,Intended procedure,,,,,MYH-RM0067,,,,Total hip replacement,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S11_OtherSurgery,Other surgery,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0069,,,,Other surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,5.0000000000
